loc_rowid,epic_name,ra,dec,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,st_rad,st_raderr1,st_raderr2,st_radlim,st_kep,st_keperr,st_keplim,st_k2,st_k2err,st_k2lim
1160,EPIC 212495601,198.912643,-12.827043,21.677,,,0,2457229.646,,,0,,,,,,,,,0.0246,,,0,,,,,,,,,13.821,,0,12.306,0.029,0
1164,EPIC 212499835,207.418625,-12.738137,6.883,,,0,2457221.015,,,0,,,,,,,,,0.06646,,,0,,,,,,,,,16.271,,0,14.121,0.055,0
1165,EPIC 212499991,202.48877,-12.734723,15.381,,,0,2457225.459,,,0,,,,,,,,,0.02329,,,0,,,,,,,,,13.236,,0,11.366,0.023,0
1170,EPIC 212529560,202.131424,-12.107318,8.121,,,0,2457219.08,,,0,,,,,,,,,0.02014,,,0,,,,,,,,,13.897,,0,12.464,0.03,0
1171,EPIC 212530118,202.898315,-12.095094,12.83724862,,,0,2457230.128,,,0,,,,,,,,,,,,,,,,,,,,,13.559,,0,10.994,0.026,0
1172,EPIC 212534729,205.732956,-11.994251,13.479,,,0,2457223.541,,,0,,,,,,,,,0.0149,,,0,,,,,,,,,13.066,,0,11.326,0.023,0
1173,EPIC 212534729,205.732956,-11.994251,13.484958,0.001509,-0.00143,0,2457223.524,0.004424,-0.005626,0,89.29,0.512,-1.025,0,31.555531,4.458898,-7.5365,0,0.01703,0.00155,-0.00124,0,1.567,0.185,-0.13,0,0.84,0.06,-0.03,0,13.066,,0,11.326,0.023,0
1174,EPIC 212543933,206.652328,-11.804943,7.806,,,0,2457223.497,,,0,,,,,,,,,0.02184,,,0,,,,,,,,,14.01,,0,12.497,0.033,0
1175,EPIC 212543933,206.652328,-11.804943,7.80651068,,,0,2457231.301,,,0,,,,,,,,,,,,,,,,,,,,,14.01,,0,12.497,0.033,0
1180,EPIC 212555594,206.582275,-11.556253,4.162764,0.000669,-0.000645,0,2457220.444,0.006235,-0.006441,0,,,,,,,,,0.0168,0.0026,-0.0017,0,1.5,0.7,-0.6,0,0.83,,,0,12.482,,0,10.657,0.025,0
1182,EPIC 212562715,202.167923,-11.39933,13.52475,0.001073,-0.000917,0,2457220.469,0.002786,-0.003017,0,89.271,0.53,-1.055,0,37.181905,5.623348,-11.493345,0,0.0235,0.00189,-0.00133,0,2.277,0.208,-0.147,0,0.89,0.04,-0.03,0,13.046,,0,11.538,0.029,0
1183,EPIC 212562715,202.167923,-11.39933,13.524,,,0,2457220.467,,,0,,,,,,,,,0.02309,,,0,,,,,,,,,13.046,,0,11.538,0.029,0
1184,EPIC 212563850,200.848526,-11.374752,14.311,,,0,2457222.751,,,0,,,,,,,,,0.02625,,,0,,,,,,,,,13.172,,0,10.398,0.023,0
1185,EPIC 212570977,205.901398,-11.22357,8.853,,,0,2457223.894,,,0,,,,,,,,,0.1559,,,0,,,,,,,,,13.928,,0,12.319,0.029,0
1186,EPIC 212570977,205.901398,-11.22357,8.853025,0.000082,-0.000081,0,2457223.894,0.000382,-0.000387,0,,,,,,,,,0.1514,0.001,-0.001,0,14.4,5.8,-5.8,0,0.87,,,0,13.928,,0,12.319,0.029,0
1187,EPIC 212570977,205.901398,-11.22357,8.85007649,,,0,2457232.758,,,0,,,,,,,,,,,,,,,,,,,,,13.928,,0,12.319,0.029,0
1188,EPIC 212572439,204.440079,-11.192574,2.581467,0.000016,-0.000017,0,2457223.029,0.00025,-0.000253,0,,,,,,,,,0.0668,0.004,-0.0032,0,5.7,2.3,-2.3,0,0.78,,,0,12.835,,0,11.114,0.035,0
1189,EPIC 212572439,204.440079,-11.192574,2.58166013,,,0,2457225.608,,,0,,,,,,,,,,,,,,,,,,,,,12.835,,0,11.114,0.035,0
1190,EPIC 212572439,204.440079,-11.192574,2.581,,,0,2457217.866,,,0,,,,,,,,,0.06319,,,0,,,,,,,,,12.835,,0,11.114,0.035,0
1191,EPIC 212572452,204.441757,-11.192224,2.581,,,0,2457217.865,,,0,,,,,,,,,0.17404,,,0,,,,,,,,,14.769,,0,11.868,0.027,0
1193,EPIC 212575828,205.159698,-11.117092,2.06,,,0,2457217.849,,,0,,,,,,,,,0.03666,,,0,,,,,,,,,15.508,,0,13.392,0.032,0
1194,EPIC 212577658,208.753357,-11.079821,14.069,,,0,2457221.323,,,0,,,,,,,,,0.01738,,,0,,,,,,,,,11.541,,0,9.883,0.027,0
1195,EPIC 212577658,208.753357,-11.079821,14.069121,0.001052,-0.001029,0,2457221.322,0.003203,-0.003309,0,,,,,,,,,0.0201,0.0029,-0.0012,0,1.8,0.8,-0.7,0,0.84,,,0,11.541,,0,9.883,0.027,0
1196,EPIC 212577658,208.753357,-11.079821,14.07277587,,,0,2457235.381,,,0,,,,,,,,,,,,,,,,,,,,,11.541,,0,9.883,0.027,0
